team,Roma
G,Bogdan Lobont
G,Wojciech Szczesny
G,Morgan DeSanctis
G,Ionut Pop
G,Lorenzo Cristanto
D,Antonio Rüdiger
D,Lucas Digne
M,Radja Nainggolan
D,Leandro Castan
M,Kevin Strootman
M,Diego Perotti
F,Edin Dzeko
F,Francesco Totti
M,Mohamed Salah
D,Maicon
F,Iago Falqué
M,Miralem Pjanic
M,Daniele de Rossi
F,Ezequiel Ponce
M,Seydou Keita
M,William Vainqueur
F,Stephan El Shaarawy
D,Norbert Gyömbér
M,Alessandro Florenzi
D,Emerson
D,Vasileios Torosidis
D,Kostas Manolas
M,Salih Ucan
D,Silvio Anocic
M,Lorenzo Di Livio
M,Christian D'Urso
D,Eros De Santis
M,Jose Machin Dicombo
D,Ervin Zukanovic
D,Riccardo Marchizza
F,Edoardo Soleri
F,Marco Tumminello
D,Elio Capradossi
F,Sadiq Umar
D,Nura Abdullahi
team,Bayern
G,Ivan Lucic
G,Manuel Neuer
G,Tom Starke
G,Sven Ulreich
D,David Alaba
D,Holger Badstuber
D,Medhi Benatia
D,Juan Bernat
D,Jérome Boateng
D,Rafinha
D,Philipp Lahm
D,Philipp Steinhart
D,Serdar Tasci
M,Thiago Alcantara
M,Xabi Alonso
M,Fabian Benko
M,Kingsley Coman
M,Julian Green
M,Mario Götze
M,Joshua Kimmich
M,Javi Martínez
M,Franck Ribéry
M,Arjen Robben
M,Sebastian Rode
M,Arturo Vidal
F,Douglas Costa
F,Robert Lewandowski
F,Thomas Müller
F,Milos Pantovic
F,Patrick Weihrauch
team,Real Madrid
G,Kiko Casilla
G,Keylor Navas
G,Rubén Yáñez
D,Álvaro Arbeloa
D,Daniel Carvajal
D,Nacho
D,Philipp Lienhart
D,Pepe
D,Sergio Ramos
D,Tejero
D,Raphaël Varane
D,Marcelo
D,Danilo
M,Isco
M,Casemiro
M,Mateo Kovacic
M,Toni Kroos
M,Lazo
M,Marcos Llorente
M,Luka Modric
M,Martin Odegaard
M,James Rodríguez
M,Lucas Vázquez
F,Gareth Bale
F,Karim Benzema
F,Borja Mayoral
F,Jesé
F,Cristiano Ronaldo
team,FC Barcelona
G,Claudio Bravo
G,Jordi Masip
G,Marc-André ter Stegen
D,Jordi Alba
D,Marc Bartra
D,Adriano
D,Douglas
D,Javier Mascherano
D,Jérémy Mathieu
D,Gerard Piqué
D,Thomas Vermaelen
D,Aleix Vidal
D,Dani Alves
M,Rafinha
M,Carlos Aleñá
M,Sergio Busquets
M,Cámara
M,Gerard
M,Andrés Iniesta
M,Wilfrid Kaptoum
M,Ivan Rakitic
M,Sergi Roberto
M,Sergi Samper
M,Arda Turan
F,Munir El Haddadi
F,Lionel Messi
F,Sandro Ramírez
F,Daniel Romera
F,Luis Suárez
F,Neymar
team,Atletico Madrid
G,Miguel Ángel Moyá
G,Jan Oblak
D,José Giménez
D,Diego Godín
D,Borja González
D,Jesús Gámez
D,Lucas Hernández
D,Theo Hernández
D,Filipe Luís
D,Ignacio Monsalve
D,Stefan Savic
D,Juanfran
M,Tiago
M,Gabi
M,Augusto Fernández
M,Yannick Ferreira-Carrasco
M,Matias Kranevitter
M,Koke
M,Thomas
M,Óliver
M,Saúl Ñíguez
F,Ángel Correa
F,Amath Amath Diedhiou
F,Antoine Griezmann
F,Roberto Núñez
F,Fernando Torres
F,Luciano Vietto
F,Samuel Villa
team,PSG
G,Rémy Descamps
G,Nicolas Douchez
G,Salvatore Sirigu
G,Kevin Trapp
D,Marquinhos
D,Serge Aurier
D,Alec Georgen
D,Presnel Kimpembe
D,Layvin Kurzawa
D,David Luiz
D,Kevin Rimane
D,Maxwell
D,Thiago Silva
D,Gregory Van Der Wiel
M,Jean-Kevin Augustin
M,Ángel Di María
M,Mamadou Doucoure
M,Blaise Matuidi
M,Thiago Motta
M,Christopher Nkunku
M,Javier Pastore
M,Adrien Rabiot
M,Benjamin Stambouli
M,Marco Verratti
M,Meite Yakou
F,Edinson Cavani
F,Zlatan Ibrahimovic
F,Lucas Moura
F,Hervin Ongenda
F,Timothée Taufflieb
team,Arsenal
G,Petr Cech
G,Matthew Macey
G,David Ospina
D,Hector Bellerin
D,Calum Chambers
D,Kieran Gibbs
D,Carl Jenkinson
D,Laurent Koscielny
D,Per Mertesacker
D,Nacho Monreal
D,Gabriel Paulista
M,Mikel Arteta
M,Ismael Bennacer
M,Krystian Bielik
M,Santi Cazorla
M,Francis Coquelin
M,Mohamed Elneny
M,Mathieu Flamini
M,Serge Gnabry
M,Alex Iwobi
M,Alex Oxlade-Chamberlain
M,Aaron Ramsey
M,Tomas Rosicky
M,Ben Sheaf
M,Chris Willock
M,Jack Wilshere
M,Mesut Özil
F,Joel Campbell
F,Olivier Giroud
F,Jeff Reine-Adelaide
F,Alexis Sánchez
F,Theo Walcott
F,Danny Welbeck
team,Manchester United
G,Joel Castro
G,David De Gea
G,Sam Johnstone
G,Sergio Romero
D,Daley Blind
D,Cameron Borthwick-Jackson
D,Matteo Darmian
D,Timothy Fosu-Mensah
